conversation_id,raw_tweets_info,tweet_ids,user_ids,conversation_length,airlines_involved
1253,"[(738657499834908676, 1352734951), (738656800598331392, 16808613), (738656109280497664, 1352734951), (738654229561249792, 16808613)]","[738657499834908676, 738656800598331392, 738656109280497664, 738654229561249792]","[1352734951, 16808613, 1352734951, 16808613]",4,No airlines involved
1317,"[(738656917325787140, 342086779), (738652429588258816, 342086779)]","[738656917325787140, 738652429588258816]","[342086779, 342086779]",2,No airlines involved
1338,"[(738656588802711552, 130934255), (738655820133588992, 130934255)]","[738656588802711552, 738655820133588992]","[130934255, 130934255]",2,No airlines involved
1388,"[(738655990002880512, 14612265), (738653878938390528, 14612265)]","[738655990002880512, 738653878938390528]","[14612265, 14612265]",2,No airlines involved
1468,"[(738655181936721920, 426891845), (738511819912908800, 426891845)]","[738655181936721920, 738511819912908800]","[426891845, 426891845]",2,No airlines involved
1528,"[(738654600308264960, 262921556), (738653661090316288, 262921556)]","[738654600308264960, 738653661090316288]","[262921556, 262921556]",2,No airlines involved
1537,"[(738654557799124992, 120100776), (738651909012217856, 45792598)]","[738654557799124992, 738651909012217856]","[120100776, 45792598]",2,No airlines involved
1574,"[(738654229783404544, 2234269999), (738654107259506688, 121046433)]","[738654229783404544, 738654107259506688]","[2234269999, 121046433]",2,No airlines involved
1603,"[(738653860609167360, 183515850), (738653558216757248, 21401523)]","[738653860609167360, 738653558216757248]","[183515850, 21401523]",2,No airlines involved
1608,"[(738653802866298884, 252507635), (738638007150993408, 52712639)]","[738653802866298884, 738638007150993408]","[252507635, 52712639]",2,No airlines involved
1628,"[(738653577032392704, 1542862735), (738652742588203008, 965239428)]","[738653577032392704, 738652742588203008]","[1542862735, 965239428]",2,RyanAir
1675,"[(738653242339495937, 53737557), (738594588374401024, 19486018)]","[738653242339495937, 738594588374401024]","[53737557, 19486018]",2,No airlines involved
1726,"[(738652283601354752, 441106496), (738606918843785216, 2233763960)]","[738652283601354752, 738606918843785216]","[441106496, 2233763960]",2,No airlines involved
1758,"[(738651773532049408, 6474292), (738649712924975104, 11883792), (738647068051447808, 6474292)]","[738651773532049408, 738649712924975104, 738647068051447808]","[6474292, 11883792, 6474292]",3,No airlines involved
1765,"[(738651686856581120, 262921556), (738644921997918208, 262921556)]","[738651686856581120, 738644921997918208]","[262921556, 262921556]",2,No airlines involved
1796,"[(738651298891993088, 6266792), (738473623850258432, 15123848)]","[738651298891993088, 738473623850258432]","[6266792, 15123848]",2,No airlines involved
1805,"[(738651175730446340, 84134131), (738650487873015808, 84134131)]","[738651175730446340, 738650487873015808]","[84134131, 84134131]",2,No airlines involved
1813,"[(738651029147897856, 737556481298419713), (738431005179142144, 138879428)]","[738651029147897856, 738431005179142144]","[737556481298419713, 138879428]",2,No airlines involved
1835,"[(738650582483935232, 58550240), (738649449988165632, 1542862735)]","[738650582483935232, 738649449988165632]","[58550240, 1542862735]",2,RyanAir
1857,"[(738650301771714560, 20577110), (738650083462422528, 56377143), (738645200537554944, 20577110)]","[738650301771714560, 738650083462422528, 738645200537554944]","[20577110, 56377143, 20577110]",3,KLM
1875,"[(738650067196882944, 8279892), (738649288591478784, 888364116)]","[738650067196882944, 738649288591478784]","[8279892, 888364116]",2,No airlines involved
1878,"[(738650055503138816, 38676903), (738394916804538368, 393824732)]","[738650055503138816, 738394916804538368]","[38676903, 393824732]",2,easyJet
1949,"[(738649302013214720, 6474292), (738648893773209600, 15301135), (738646537857818624, 6474292)]","[738649302013214720, 738648893773209600, 738646537857818624]","[6474292, 15301135, 6474292]",3,No airlines involved
2003,"[(738648476330917888, 2846653642), (738644803508965376, 262208063)]","[738648476330917888, 738644803508965376]","[2846653642, 262208063]",2,No airlines involved
2034,"[(738648118279864320, 19624671), (738647892722913280, 362144301)]","[738648118279864320, 738647892722913280]","[19624671, 362144301]",2,No airlines involved
2043,"[(738648006958944256, 3546907480), (738646207124344832, 3546907480)]","[738648006958944256, 738646207124344832]","[3546907480, 3546907480]",2,No airlines involved
2239,"[(738645682907664384, 6474292), (738518462188900352, 15298116), (738498858972483584, 6474292)]","[738645682907664384, 738518462188900352, 738498858972483584]","[6474292, 15298116, 6474292]",3,No airlines involved
2300,"[(738645114285903872, 38676903), (738304551460167680, 2727086507)]","[738645114285903872, 738304551460167680]","[38676903, 2727086507]",2,easyJet
2318,"[(738644691260841984, 213612412), (738619344888827904, 17021480)]","[738644691260841984, 738619344888827904]","[213612412, 17021480]",2,No airlines involved
2327,"[(738644598231334912, 556002688), (738640138528378880, 93965019)]","[738644598231334912, 738640138528378880]","[556002688, 93965019]",2,No airlines involved
2332,"[(738644545328545792, 1655883570), (738644245465169920, 1288484797)]","[738644545328545792, 738644245465169920]","[1655883570, 1288484797]",2,No airlines involved
2371,"[(738643939184500736, 56352373), (738643580558925824, 1957125536)]","[738643939184500736, 738643580558925824]","[56352373, 1957125536]",2,No airlines involved
2395,"[(738643456998932480, 305248807), (738642950108942336, 1957125536)]","[738643456998932480, 738642950108942336]","[305248807, 1957125536]",2,No airlines involved
2405,"[(738643375667060737, 262921556), (738551048181256192, 262921556)]","[738643375667060737, 738551048181256192]","[262921556, 262921556]",2,No airlines involved
2515,"[(738642137554784256, 94208840), (738641411277529088, 66129243), (738640939623841792, 94208840)]","[738642137554784256, 738641411277529088, 738640939623841792]","[94208840, 66129243, 94208840]",3,No airlines involved
2520,"[(738642082617778176, 2321008840), (738641399260827648, 2321008840), (738635832899309568, 38676903), (738233898883264512, 2321008840)]","[738642082617778176, 738641399260827648, 738635832899309568, 738233898883264512]","[2321008840, 2321008840, 38676903, 2321008840]",4,easyJet
2527,"[(738641988715712512, 520478396), (737611315045240832, 240295884)]","[738641988715712512, 737611315045240832]","[520478396, 240295884]",2,No airlines involved
2573,"[(738641546711535616, 715503523086118912), (738636636230148096, 715503523086118912)]","[738641546711535616, 738636636230148096]","[715503523086118912, 715503523086118912]",2,No airlines involved
2684,"[(738639922396008448, 722730612210208768), (738593922490896384, 467233947)]","[738639922396008448, 738593922490896384]","[722730612210208768, 467233947]",2,No airlines involved
2702,"[(738639531113598976, 20823928), (738637280387203072, 722518099)]","[738639531113598976, 738637280387203072]","[20823928, 722518099]",2,No airlines involved
2719,"[(738639345867993088, 119885207), (738623567579860992, 119885207)]","[738639345867993088, 738623567579860992]","[119885207, 119885207]",2,No airlines involved
2733,"[(738639207451774976, 1623744044), (738487898501173248, 2927380943)]","[738639207451774976, 738487898501173248]","[1623744044, 2927380943]",2,No airlines involved
2784,"[(738638482126610432, 547134319), (738636867785117696, 214099665)]","[738638482126610432, 738636867785117696]","[547134319, 214099665]",2,No airlines involved
2794,"[(738638245223878656, 1650964988), (738636844498341888, 212256947)]","[738638245223878656, 738636844498341888]","[1650964988, 212256947]",2,No airlines involved
2824,"[(738637660470837248, 463150154), (738528666792136704, 589109142)]","[738637660470837248, 738528666792136704]","[463150154, 589109142]",2,No airlines involved
2861,"[(738637386335166464, 2146141), (738634728052400128, 4468111)]","[738637386335166464, 738634728052400128]","[2146141, 4468111]",2,No airlines involved
2876,"[(738637237215240196, 722518099), (738634821551951872, 20823928), (738629629456580608, 722518099)]","[738637237215240196, 738634821551951872, 738629629456580608]","[722518099, 20823928, 722518099]",3,No airlines involved
2899,"[(738637030561832960, 541129924), (738636133945511936, 7130372)]","[738637030561832960, 738636133945511936]","[541129924, 7130372]",2,No airlines involved
2909,"[(738636789657788416, 3377280399), (738631524233400320, 3377280399)]","[738636789657788416, 738631524233400320]","[3377280399, 3377280399]",2,No airlines involved
2912,"[(738636771475509248, 21432900), (738615323482460160, 342745391)]","[738636771475509248, 738615323482460160]","[21432900, 342745391]",2,No airlines involved
2957,"[(738635950532796416, 2499251182), (738377914849300480, 2499251182)]","[738635950532796416, 738377914849300480]","[2499251182, 2499251182]",2,No airlines involved
2977,"[(738635622668226560, 1542862735), (738634815256289280, 516413170)]","[738635622668226560, 738634815256289280]","[1542862735, 516413170]",2,RyanAir
2988,"[(738635481987092480, 134507333), (738634973641646080, 20823928), (738634481033175040, 134507333)]","[738635481987092480, 738634973641646080, 738634481033175040]","[134507333, 20823928, 134507333]",3,No airlines involved
2996,"[(738635227862568962, 38676903), (738130729222197248, 275471450)]","[738635227862568962, 738130729222197248]","[38676903, 275471450]",2,easyJet
2997,"[(738635162448211968, 20823928), (738633123395710976, 61480155)]","[738635162448211968, 738633123395710976]","[20823928, 61480155]",2,No airlines involved
3003,"[(738635103891513344, 14111968), (738634995573657600, 14111968)]","[738635103891513344, 738634995573657600]","[14111968, 14111968]",2,No airlines involved
3028,"[(738634746947854336, 1082959783), (738633818161217536, 253340062)]","[738634746947854336, 738633818161217536]","[1082959783, 253340062]",2,SingaporeAir
3048,"[(738634577913204736, 38676903), (738105219297488896, 562859445)]","[738634577913204736, 738105219297488896]","[38676903, 562859445]",2,easyJet
3051,"[(738634544958541824, 40113236), (738633537566314496, 41305291), (738631477383024640, 40113236)]","[738634544958541824, 738633537566314496, 738631477383024640]","[40113236, 41305291, 40113236]",3,No airlines involved
3063,"[(738634357011795968, 159797758), (738633585436053504, 159797758)]","[738634357011795968, 738633585436053504]","[159797758, 159797758]",2,No airlines involved
3074,"[(738634065163747329, 4696247797), (738633885605462016, 1542862735)]","[738634065163747329, 738633885605462016]","[4696247797, 1542862735]",2,RyanAir
3076,"[(738634032053952512, 60570380), (738627455594860544, 41325542)]","[738634032053952512, 738627455594860544]","[60570380, 41325542]",2,No airlines involved
3173,"[(738632818067017728, 9011772), (738631260340256768, 4468111)]","[738632818067017728, 738631260340256768]","[9011772, 4468111]",2,No airlines involved
3179,"[(738632666183028736, 4487857154), (738624889553342464, 4487857154)]","[738632666183028736, 738624889553342464]","[4487857154, 4487857154]",2,No airlines involved
3192,"[(738632562504044544, 3168025946), (738625709606723584, 3168025946)]","[738632562504044544, 738625709606723584]","[3168025946, 3168025946]",2,No airlines involved
3269,"[(738631064650977280, 715578482554703872), (738630777496276992, 359325473)]","[738631064650977280, 738630777496276992]","[715578482554703872, 359325473]",2,No airlines involved
3286,"[(738630666766671872, 38676903), (738405245039071232, 257865674)]","[738630666766671872, 738405245039071232]","[38676903, 257865674]",2,easyJet
3371,"[(738629243710537730, 39739718), (738628808497041408, 56377143), (738621864168194048, 39739718)]","[738629243710537730, 738628808497041408, 738621864168194048]","[39739718, 56377143, 39739718]",3,KLM
3464,"[(738627913377939456, 2513430530), (738623795204755456, 61480155)]","[738627913377939456, 738623795204755456]","[2513430530, 61480155]",2,No airlines involved
3520,"[(738626478997266433, 112016118), (738623119758233600, 112016118)]","[738626478997266433, 738623119758233600]","[112016118, 112016118]",2,No airlines involved
3547,"[(738625848987684864, 7762632), (738038663066603520, 887421361)]","[738625848987684864, 738038663066603520]","[7762632, 887421361]",2,No airlines involved
3558,"[(738625526521176065, 1034238379), (738625200623890432, 108252113)]","[738625526521176065, 738625200623890432]","[1034238379, 108252113]",2,No airlines involved
3609,"[(738624724968738816, 454306764), (738473603423981568, 191391371)]","[738624724968738816, 738473603423981568]","[454306764, 191391371]",2,No airlines involved
3654,"[(738623536642691073, 219340384), (737994025349873664, 331538435), (737989219486928896, 219340384)]","[738623536642691073, 737994025349873664, 737989219486928896]","[219340384, 331538435, 219340384]",3,No airlines involved
3659,"[(738623387489075201, 218730857), (738620301668294656, 45937956)]","[738623387489075201, 738620301668294656]","[218730857, 45937956]",2,Qantas
3762,"[(738621238302539776, 38676903), (738098167825203200, 1901453846)]","[738621238302539776, 738098167825203200]","[38676903, 1901453846]",2,easyJet
3801,"[(738620257573572608, 735250847794241536), (738618817220251648, 4487857154)]","[738620257573572608, 738618817220251648]","[735250847794241536, 4487857154]",2,No airlines involved
3835,"[(738619455685595136, 2217592668), (738614294909095936, 2217592668)]","[738619455685595136, 738614294909095936]","[2217592668, 2217592668]",2,No airlines involved
3899,"[(738618358501801984, 38676903), (738097113335246848, 48709704)]","[738618358501801984, 738097113335246848]","[38676903, 48709704]",2,easyJet
3912,"[(738618092821958657, 16945621), (738615413605421056, 1240061772)]","[738618092821958657, 738615413605421056]","[16945621, 1240061772]",2,No airlines involved
3965,"[(738617463990947840, 38676903), (738097234127032320, 122754632)]","[738617463990947840, 738097234127032320]","[38676903, 122754632]",2,easyJet
3999,"[(738616463951462401, 38676903), (738096756219641856, 2512928115)]","[738616463951462401, 738096756219641856]","[38676903, 2512928115]",2,easyJet
4011,"[(738616093489561604, 38676903), (738384133106307072, 82078092)]","[738616093489561604, 738384133106307072]","[38676903, 82078092]",2,easyJet
4037,"[(738615449554821120, 38676903), (738095716510404608, 2768204669)]","[738615449554821120, 738095716510404608]","[38676903, 2768204669]",2,easyJet
4047,"[(738615216552828929, 290184252), (738613388062773248, 290184252)]","[738615216552828929, 738613388062773248]","[290184252, 290184252]",2,No airlines involved
4055,"[(738615112781561860, 24493968), (738614913950613504, 14365878)]","[738615112781561860, 738614913950613504]","[24493968, 14365878]",2,No airlines involved
4069,"[(738614664217526280, 38676903), (738095264251142144, 480646851)]","[738614664217526280, 738095264251142144]","[38676903, 480646851]",2,easyJet
4101,"[(738614073047146496, 201065429), (738613306601021440, 4468111)]","[738614073047146496, 738613306601021440]","[201065429, 4468111]",2,No airlines involved
4108,"[(738613814933872640, 1542862735), (738508552755642368, 441156001)]","[738613814933872640, 738508552755642368]","[1542862735, 441156001]",2,RyanAir
4147,"[(738613297222586370, 16945621), (738611337182347264, 1240061772)]","[738613297222586370, 738611337182347264]","[16945621, 1240061772]",2,No airlines involved
4151,"[(738613157858398210, 121763711), (738612626276548608, 1469630419)]","[738613157858398210, 738612626276548608]","[121763711, 1469630419]",2,No airlines involved
4207,"[(738611808961855490, 85727832), (738606114166579200, 85727832)]","[738611808961855490, 738606114166579200]","[85727832, 85727832]",2,No airlines involved
4213,"[(738611731023302656, 260294639), (738453116362854400, 3294340433)]","[738611731023302656, 738453116362854400]","[260294639, 3294340433]",2,No airlines involved
4246,"[(738611107204501504, 43407054), (738610995916988416, 43407054)]","[738611107204501504, 738610995916988416]","[43407054, 43407054]",2,No airlines involved
4250,"[(738611002120372225, 52436759), (738500327293517824, 60928769)]","[738611002120372225, 738500327293517824]","[52436759, 60928769]",2,No airlines involved
4278,"[(738609923047591936, 3260384772), (738569485477662720, 499999967)]","[738609923047591936, 738569485477662720]","[3260384772, 499999967]",2,No airlines involved
4365,"[(738607634522079234, 2346926287), (738607011101708288, 2194680680)]","[738607634522079234, 738607011101708288]","[2346926287, 2194680680]",2,No airlines involved
4399,"[(738606794788872194, 2346926287), (738605761631133696, 2194680680)]","[738606794788872194, 738605761631133696]","[2346926287, 2194680680]",2,No airlines involved
4427,"[(738606293259161600, 2516260534), (738471817174736896, 2927380943)]","[738606293259161600, 738471817174736896]","[2516260534, 2927380943]",2,No airlines involved
4570,"[(738603752882470913, 2411089858), (738484133962338304, 210797264)]","[738603752882470913, 738484133962338304]","[2411089858, 210797264]",2,No airlines involved
4628,"[(738601921989083140, 2863533063), (738601702144671744, 2863533063)]","[738601921989083140, 738601702144671744]","[2863533063, 2863533063]",2,No airlines involved
4704,"[(738600130954158080, 62662278), (738599886875033600, 62662278)]","[738600130954158080, 738599886875033600]","[62662278, 62662278]",2,No airlines involved
4724,"[(738599622260625408, 270606505), (738577586343837696, 146555993)]","[738599622260625408, 738577586343837696]","[270606505, 146555993]",2,No airlines involved
4884,"[(738595264982745088, 501350540), (738594323894128640, 501350540)]","[738595264982745088, 738594323894128640]","[501350540, 501350540]",2,No airlines involved
4900,"[(738594925172822017, 4099800425), (738492531911106560, 3380060127), (738484705297879040, 4099800425)]","[738594925172822017, 738492531911106560, 738484705297879040]","[4099800425, 3380060127, 4099800425]",3,No airlines involved
4918,"[(738594472611577856, 604622788), (738546570220556288, 45800122)]","[738594472611577856, 738546570220556288]","[604622788, 45800122]",2,No airlines involved
4943,"[(738593657608015874, 234344380), (738591225045864448, 2182217779)]","[738593657608015874, 738591225045864448]","[234344380, 2182217779]",2,No airlines involved
5050,"[(738591589967106050, 721750520596185088), (738562153226067968, 13522012)]","[738591589967106050, 738562153226067968]","[721750520596185088, 13522012]",2,No airlines involved
5052,"[(738591545884958721, 621416922), (738589705093029888, 621416922)]","[738591545884958721, 738589705093029888]","[621416922, 621416922]",2,No airlines involved
5072,"[(738590811437207553, 302777711), (738590558197665792, 2233763960)]","[738590811437207553, 738590558197665792]","[302777711, 2233763960]",2,No airlines involved
5203,"[(738588398496010240, 702843613), (738587873868275712, 467233947)]","[738588398496010240, 738587873868275712]","[702843613, 467233947]",2,No airlines involved
5242,"[(738587203379437572, 251126620), (738584859254226944, 251126620), (738584603338776576, 251126620)]","[738587203379437572, 738584859254226944, 738584603338776576]","[251126620, 251126620, 251126620]",3,No airlines involved
5298,"[(738585996929830912, 93094789), (738518408447295488, 58001611)]","[738585996929830912, 738518408447295488]","[93094789, 58001611]",2,No airlines involved
5405,"[(738584582849581056, 2312585881), (738584384563875840, 2312585881)]","[738584582849581056, 738584384563875840]","[2312585881, 2312585881]",2,No airlines involved
5410,"[(738584143915671553, 2312585881), (738583895243788288, 2312585881)]","[738584143915671553, 738583895243788288]","[2312585881, 2312585881]",2,No airlines involved
5419,"[(738583819662434305, 100350297), (738356843924230144, 1585)]","[738583819662434305, 738356843924230144]","[100350297, 1585]",2,No airlines involved
5468,"[(738582344257306624, 3350573830), (738565905358131200, 18332190)]","[738582344257306624, 738565905358131200]","[3350573830, 18332190]",2,British_Airways
5530,"[(738581017259180033, 2251110918), (738566628732985344, 1158747343)]","[738581017259180033, 738566628732985344]","[2251110918, 1158747343]",2,No airlines involved
5546,"[(738580729617997826, 2251110918), (738561147603980288, 1158747343)]","[738580729617997826, 738561147603980288]","[2251110918, 1158747343]",2,No airlines involved
5547,"[(738580626740121601, 737786392604856320), (738580165433819136, 737786392604856320), (738579759248990208, 737786392604856320), (738579227428065280, 737786392604856320), (738579062583500800, 737786392604856320)]","[738580626740121601, 738580165433819136, 738579759248990208, 738579227428065280, 738579062583500800]","[737786392604856320, 737786392604856320, 737786392604856320, 737786392604856320, 737786392604856320]",5,No airlines involved
5567,"[(738580232899203074, 204427289), (738580006754869248, 204427289)]","[738580232899203074, 738580006754869248]","[204427289, 204427289]",2,No airlines involved
5609,"[(738579906246922240, 2322594086), (738569376928923648, 15227791)]","[738579906246922240, 738569376928923648]","[2322594086, 15227791]",2,No airlines involved
5665,"[(738578354815700993, 737786392604856320), (738578087449792512, 737786392604856320)]","[738578354815700993, 738578087449792512]","[737786392604856320, 737786392604856320]",2,No airlines involved
5684,"[(738578074854248448, 469885689), (738577724458074112, 214613364)]","[738578074854248448, 738577724458074112]","[469885689, 214613364]",2,No airlines involved
5707,"[(738577406080909312, 3404828307), (738559365683249152, 218950362)]","[738577406080909312, 738559365683249152]","[3404828307, 218950362]",2,No airlines involved
5725,"[(738577029604343809, 737786392604856320), (738576839988285440, 737786392604856320), (738576525033758720, 737786392604856320), (738575952788103168, 737786392604856320), (738575662215090176, 737786392604856320), (738575289010159616, 737786392604856320)]","[738577029604343809, 738576839988285440, 738576525033758720, 738575952788103168, 738575662215090176, 738575289010159616]","[737786392604856320, 737786392604856320, 737786392604856320, 737786392604856320, 737786392604856320, 737786392604856320]",6,No airlines involved
5749,"[(738576271739920384, 204427289), (738575907322007552, 204427289)]","[738576271739920384, 738575907322007552]","[204427289, 204427289]",2,No airlines involved
5758,"[(738575754145890305, 1306554540), (738575493327249408, 218730857)]","[738575754145890305, 738575493327249408]","[1306554540, 218730857]",2,Qantas
5864,"[(738574036637257728, 708537949097308160), (738566347014189056, 3874964957)]","[738574036637257728, 738566347014189056]","[708537949097308160, 3874964957]",2,No airlines involved
5912,"[(738572821861965824, 389675156), (738570812832120832, 389675156)]","[738572821861965824, 738570812832120832]","[389675156, 389675156]",2,No airlines involved
5915,"[(738572807395774465, 2833039175), (738524461088026624, 3809926937)]","[738572807395774465, 738524461088026624]","[2833039175, 3809926937]",2,No airlines involved
5945,"[(738571957092913153, 90676650), (738512030236180480, 104644955)]","[738571957092913153, 738512030236180480]","[90676650, 104644955]",2,No airlines involved
6020,"[(738570355476811776, 16043263), (738570033073266688, 29098177)]","[738570355476811776, 738570033073266688]","[16043263, 29098177]",2,No airlines involved
6066,"[(738569752398827521, 2746848645), (738568419583217664, 105175167)]","[738569752398827521, 738568419583217664]","[2746848645, 105175167]",2,No airlines involved
6181,"[(738567449889497088, 3175350518), (738565591750090752, 146688896)]","[738567449889497088, 738565591750090752]","[3175350518, 146688896]",2,No airlines involved
6260,"[(738566067291852800, 3258045391), (738404891412963328, 1284516468)]","[738566067291852800, 738404891412963328]","[3258045391, 1284516468]",2,No airlines involved
6415,"[(738563316008792064, 322212897), (738557946905382912, 322212897)]","[738563316008792064, 738557946905382912]","[322212897, 322212897]",2,No airlines involved
6491,"[(738562020094644224, 2185310650), (738561698676641792, 1450386817)]","[738562020094644224, 738561698676641792]","[2185310650, 1450386817]",2,No airlines involved
6682,"[(738558741830733824, 32239737), (738530557844324352, 280745235), (738364391989514240, 32239737)]","[738558741830733824, 738530557844324352, 738364391989514240]","[32239737, 280745235, 32239737]",3,No airlines involved
6902,"[(738557410818859008, 2233665974), (738557338764738560, 1450386817)]","[738557410818859008, 738557338764738560]","[2233665974, 1450386817]",2,No airlines involved
6927,"[(738556981594705920, 2513685304), (738489217651748864, 49783954)]","[738556981594705920, 738489217651748864]","[2513685304, 49783954]",2,No airlines involved
6979,"[(738555661315899392, 1451796482), (738555471594934272, 21636524)]","[738555661315899392, 738555471594934272]","[1451796482, 21636524]",2,No airlines involved
